# This is a data table for pyrolite computed using Perple_X.
# Independent variables are temperature and pressure.
# POINTS: 200 200
T(K)           P(bar)         s,J/K/kg       rho,kg/m3      alpha,1/K      cp,J/K/m3      vp,km/s        vs,km/s        h,J/kg        
  260.000       0.250000        539.631        3332.26       0.212028E-004  0.257440E+007   8.11594        4.74713      -0.134383E+008
  281.307       0.250000        602.394        3330.78       0.224242E-004  0.272923E+007   8.10848        4.74229      -0.134214E+008
  302.613       0.250000        663.759        3329.22       0.234987E-004  0.286259E+007   8.10062        4.73717      -0.134034E+008
  323.920       0.250000        723.529        3327.60       0.244495E-004  0.297774E+007   8.09244        4.73187      -0.133847E+008
  345.226       0.250000        781.564        3325.91       0.252968E-004  0.307746E+007   8.08386        4.72630      -0.133653E+008
  366.533       0.250000        837.855        3324.18       0.260576E-004  0.316418E+007   8.07503        4.72061      -0.133453E+008
  387.839       0.250000        892.351        3322.35       0.267468E-004  0.323985E+007   8.06577        4.71465      -0.133247E+008
  409.146       0.250000        945.149        3320.48       0.273753E-004  0.330619E+007   8.05625        4.70856      -0.133037E+008
  430.452       0.250000        1011.23        3216.18       0.265481E-004  0.327486E+007   7.79983        4.50859      -0.132759E+008
  451.759       0.250000        1060.87        3214.37       0.270613E-004  0.332362E+007   7.78955        4.50231      -0.132540E+008
  473.065       0.250000        1108.99        3212.54       0.275468E-004  0.336690E+007   7.77897        4.49596      -0.132317E+008
  494.372       0.250000        1155.53        3210.66       0.280110E-004  0.340548E+007   7.76810        4.48951      -0.132092E+008
  515.678       0.250000        1200.72        3208.77       0.284594E-004  0.344002E+007   7.75686        4.48299      -0.131864E+008
  536.985       0.250000        1244.43        3206.83       0.288972E-004  0.347106E+007   7.74531        4.47636      -0.131634E+008
  558.291       0.250000        1286.78        3204.86       0.293293E-004  0.349907E+007   7.73349        4.46966      -0.131402E+008
  579.598       0.250000        1327.85        3202.85       0.297611E-004  0.352446E+007   7.72129        4.46289      -0.131169E+008
  600.905       0.250000        1367.72        3200.81       0.301979E-004  0.354757E+007   7.70865        4.45605      -0.130933E+008
  622.211       0.250000        1406.48        3198.75       0.306461E-004  0.356870E+007   7.69549        4.44917      -0.130696E+008
  643.518       0.250000        1444.17        3196.65       0.311132E-004  0.358813E+007   7.68170        4.44222      -0.130458E+008
  664.824       0.250000        1480.84        3194.52       0.316090E-004  0.360609E+007   7.66717        4.43524      -0.130218E+008
  686.131       0.250000        1516.56        3192.36       0.321468E-004  0.362280E+007   7.65169        4.42821      -0.129977E+008
  707.437       0.250000        1551.36        3190.16       0.327458E-004  0.363850E+007   7.63500        4.42114      -0.129734E+008
  728.744       0.250000        1585.29        3187.92       0.334368E-004  0.365340E+007   7.61664        4.41404      -0.129490E+008
  750.050       0.250000        1618.41        3185.63       0.342709E-004  0.366784E+007   7.59592        4.40691      -0.129246E+008
  771.357       0.250000        1650.75        3183.28       0.353475E-004  0.368224E+007   7.57152        4.39976      -0.129000E+008
  792.663       0.250000        1682.35        3180.85       0.368902E-004  0.369752E+007   7.54072        4.39260      -0.128753E+008
  813.970       0.250000        1713.29        3178.28       0.395677E-004  0.371617E+007   7.49645        4.38546      -0.128504E+008
  835.276       0.250000        1743.64        3175.40       0.473503E-004  0.375281E+007   7.40708        4.37839      -0.128254E+008
  856.583       0.250000        1773.53        3172.07       0.285851E-004  0.369197E+007   7.72230        4.37148      -0.128001E+008
  877.889       0.250000        1802.18        3170.15       0.287824E-004  0.370016E+007   7.71201        4.36393      -0.127752E+008
  899.196       0.250000        1830.23        3168.22       0.289790E-004  0.370789E+007   7.70167        4.35635      -0.127503E+008
  920.503       0.250000        1857.91        3205.56       0.317117E-004  0.376518E+007   7.66317        4.37742      -0.127251E+008
  941.809       0.250000        1884.87        3203.45       0.319515E-004  0.377213E+007   7.65077        4.36980      -0.127000E+008
  963.116       0.250000        1911.35        3201.38       0.321940E-004  0.377880E+007   7.63832        4.36221      -0.126748E+008
  984.422       0.250000        1937.31        3199.29       0.324374E-004  0.378515E+007   7.62576        4.35457      -0.126495E+008
  1005.73       0.250000        1962.78        3197.19       0.326824E-004  0.379122E+007   7.61311        4.34691      -0.126242E+008
  1027.04       0.250000        1987.78        3195.08       0.329295E-004  0.379703E+007   7.60036        4.33921      -0.125988E+008
  1048.34       0.250000        2012.61        3193.24       0.331923E-004  0.380300E+007   7.58738        4.33173      -0.125730E+008
  1069.65       0.250000        2036.79        3191.19       0.334481E-004  0.380848E+007   7.57440        4.32405      -0.125474E+008
  1090.95       0.250000        2060.50        3189.08       0.337044E-004  0.381371E+007   7.56134        4.31629      -0.125218E+008
  1112.26       0.250000        2083.85        3187.03       0.339670E-004  0.381887E+007   7.54815        4.30857      -0.124960E+008
  1133.57       0.250000        2106.83        3184.98       0.342340E-004  0.382390E+007   7.53485        4.30083      -0.124702E+008
  1154.87       0.250000        2129.41        3182.90       0.345041E-004  0.382878E+007   7.52146        4.29307      -0.124444E+008
  1176.18       0.250000        2151.53        3180.69       0.347717E-004  0.383338E+007   7.50801        4.28515      -0.124186E+008
  1197.49       0.250000        2173.37        3178.57       0.350487E-004  0.383801E+007   7.49441        4.27730      -0.123927E+008
  1218.79       0.250000        2194.88        3176.45       0.353311E-004  0.384257E+007   7.48070        4.26944      -0.123667E+008
  1240.10       0.250000        2216.13        3174.41       0.356237E-004  0.384719E+007   7.46682        4.26165      -0.123405E+008
  1261.41       0.250000        2237.01        3172.29       0.359181E-004  0.385166E+007   7.45287        4.25378      -0.123144E+008
  1282.71       0.250000        2256.94        3169.27       0.361656E-004  0.385477E+007   7.43914        4.24489      -0.122890E+008
  1304.02       0.250000        2277.21        3167.08       0.364680E-004  0.385908E+007   7.42493        4.23689      -0.122628E+008
  1325.33       0.250000        2297.19        3164.89       0.367771E-004  0.386337E+007   7.41058        4.22886      -0.122366E+008
  1346.63       0.250000        2316.91        3162.70       0.370936E-004  0.386765E+007   7.39610        4.22083      -0.122102E+008
  1367.94       0.250000        2336.36        3160.52       0.374183E-004  0.387196E+007   7.38147        4.21279      -0.121838E+008
  1389.25       0.250000        2355.56        3158.33       0.377509E-004  0.387628E+007   7.36668        4.20472      -0.121573E+008
  1410.55       0.250000        2374.52        3156.14       0.380922E-004  0.388062E+007   7.35175        4.19664      -0.121308E+008
  1431.86       0.250000        2393.23        3153.95       0.384430E-004  0.388501E+007   7.33665        4.18856      -0.121042E+008
  1453.17       0.250000        2412.41        3153.21       0.389024E-004  0.389175E+007   7.32121        4.18259      -0.120765E+008
  1474.47       0.250000        2429.99        3149.58       0.391761E-004  0.389399E+007   7.30594        4.17240      -0.120508E+008
  1495.78       0.250000        2448.04        3147.40       0.395598E-004  0.389861E+007   7.29032        4.16432      -0.120240E+008
  1517.09       0.250000        2465.89        3145.23       0.399559E-004  0.390332E+007   7.27452        4.15625      -0.119971E+008
  1538.39       0.250000        2483.53        3143.06       0.403650E-004  0.390813E+007   7.25851        4.14818      -0.119702E+008
  1559.70       0.250000        2501.88        3143.44       0.409699E-004  0.391725E+007   7.24289        4.14446      -0.119417E+008
  1581.01       0.250000        2518.25        3138.77       0.412294E-004  0.391820E+007   7.22590        4.13215      -0.119160E+008
  1602.31       0.250000        2535.33        3136.65       0.416856E-004  0.392347E+007   7.20927        4.12416      -0.118888E+008
  1623.62       0.250000        2553.25        3137.82       0.423973E-004  0.393447E+007   7.19406        4.12230      -0.118599E+008
  1644.92       0.250000        2568.97        3132.44       0.426537E-004  0.393458E+007   7.17533        4.10833      -0.118342E+008
  1666.23       0.250000        2585.55        3130.39       0.431703E-004  0.394050E+007   7.15803        4.10054      -0.118068E+008
  1687.54       0.250000        2601.98        3128.37       0.437096E-004  0.394669E+007   7.14049        4.09282      -0.117792E+008
  1708.84       0.250000        2618.25        3126.37       0.442737E-004  0.395315E+007   7.12271        4.08520      -0.117516E+008
  1730.15       0.250000        2634.38        3124.41       0.448645E-004  0.395993E+007   7.10469        4.07767      -0.117238E+008
  1751.46       0.250000        2650.38        3122.52       0.454866E-004  0.396711E+007   7.08645        4.07033      -0.116960E+008
  1772.76       0.250000        2666.26        3120.70       0.461417E-004  0.397471E+007   7.06801        4.06317      -0.116680E+008
  1794.07       0.250000        2682.01        3118.93       0.468317E-004  0.398275E+007   7.04934        4.05619      -0.116399E+008
  1815.38       0.250000        2697.65        3117.24       0.475601E-004  0.399130E+007   7.03047        4.04942      -0.116117E+008
  1836.68       0.250000        2713.18        3115.63       0.483308E-004  0.400040E+007   7.01139        4.04290      -0.115833E+008
  1857.99       0.250000        2728.63        3114.15       0.491496E-004  0.401017E+007   6.99218        4.03673      -0.115548E+008
  1879.30       0.250000        2743.98        3112.76       0.500187E-004  0.402061E+007   6.97276        4.03085      -0.115261E+008
  1900.60       0.250000        2760.35        3115.24       0.513123E-004  0.403930E+007   6.95465        4.03271      -0.114951E+008
  1921.91       0.250000        2775.42        3112.57       0.523647E-004  0.404975E+007   6.92745        4.02369      -0.114663E+008
  1943.22       0.250000        2790.23        3109.14       0.534354E-004  0.405961E+007   6.89869        4.01319      -0.114377E+008
  1964.52       0.250000        2804.98        3106.10       0.545629E-004  0.407068E+007   6.87134        4.00378      -0.114088E+008
  1985.83       0.250000        2819.66        3102.91       0.557957E-004  0.408264E+007   6.84233        3.99411      -0.113798E+008
  2007.14       0.250000        2834.44        3105.69       0.565777E-004  0.409978E+007   6.84858        4.00021      -0.113504E+008
  2028.44       0.250000        2849.21        3104.25       0.579549E-004  0.411584E+007   6.82504        3.99488      -0.113206E+008
  2049.75       0.250000        2864.01        3102.84       0.595099E-004  0.413374E+007   6.79938        3.98964      -0.112904E+008
  2071.06       0.250000        2878.28        3099.96       0.609964E-004  0.414958E+007   6.77270        3.98147      -0.112610E+008
  2092.36       0.250000        2892.38        3090.72       0.633801E-004  0.416440E+007   6.70702        3.95742      -0.112316E+008
  2113.67       0.250000        2906.97        3093.89       0.647050E-004  0.418829E+007   6.71003        3.96455      -0.112009E+008
  2134.97       0.250000        2921.36        3089.97       0.670893E-004  0.421179E+007   6.67016        3.95416      -0.111704E+008
  2156.28       0.250000        2935.56        3085.18       0.697241E-004  0.423707E+007   6.62735        3.94218      -0.111399E+008
  2177.59       0.250000        2949.72        3079.67       0.728027E-004  0.426620E+007   6.57982        3.92889      -0.111092E+008
  2198.89       0.250000        2964.06        3072.90       0.767677E-004  0.430267E+007   6.52081        3.91304      -0.110778E+008
  2220.20       0.250000        2978.38        3065.83       0.814417E-004  0.434687E+007   6.45986        3.89721      -0.110462E+008
  2241.51       0.250000        2992.30        3060.88       0.861541E-004  0.439668E+007   6.41706        3.88712      -0.110152E+008
  2262.81       0.250000        3006.19        3055.39       0.923938E-004  0.446322E+007   6.36898        3.87640      -0.109839E+008
  2284.12       0.250000        3020.31        3049.51       0.102333E-003  0.457110E+007   6.30902        3.86576      -0.109518E+008
  2305.43       0.250000        3034.74        3042.46       0.127110E-003  0.484833E+007   6.21433        3.85442      -0.109187E+008
  2326.73       0.250000        3036.28        3097.90       0.540367E-004  0.417581E+007   7.01046        3.93933      -0.109113E+008
  2348.04       0.250000        3048.58        3094.31       0.546047E-004  0.418351E+007   6.99291        3.92825      -0.108825E+008
  2369.35       0.250000        3060.81        3090.69       0.551936E-004  0.419157E+007   6.97511        3.91708      -0.108537E+008
  2390.65       0.250000        3072.97        3087.03       0.558065E-004  0.420002E+007   6.95704        3.90580      -0.108247E+008
  2411.96       0.250000        3085.07        3083.34       0.564430E-004  0.420887E+007   6.93870        3.89441      -0.107957E+008
  2433.27       0.250000        3097.09        3079.61       0.571099E-004  0.421822E+007   6.92002        3.88291      -0.107666E+008
  2454.57       0.250000        3109.05        3075.84       0.578032E-004  0.422803E+007   6.90105        3.87129      -0.107373E+008
  2475.88       0.250000        3120.96        3072.03       0.585311E-004  0.423841E+007   6.88171        3.85955      -0.107080E+008
  2497.19       0.250000        3132.80        3068.17       0.592972E-004  0.424945E+007   6.86196        3.84767      -0.106785E+008
  2518.49       0.250000        3144.59        3064.27       0.601055E-004  0.426120E+007   6.84178        3.83566      -0.106490E+008
  2539.80       0.250000        3156.33        3060.31       0.609663E-004  0.427383E+007   6.82105        3.82351      -0.106193E+008
  2561.11       0.250000        3168.03        3056.30       0.618766E-004  0.428732E+007   6.79984        3.81119      -0.105894E+008
  2582.41       0.250000        3179.67        3052.24       0.628498E-004  0.430191E+007   6.77801        3.79870      -0.105595E+008
  2603.72       0.250000        3191.28        3048.11       0.639017E-004  0.431783E+007   6.75542        3.78603      -0.105294E+008
  2625.03       0.250000        3202.86        3043.92       0.650406E-004  0.433529E+007   6.73203        3.77315      -0.104991E+008
  2646.33       0.250000        3214.40        3039.67       0.662814E-004  0.435453E+007   6.70771        3.76004      -0.104687E+008
  2667.64       0.250000        3225.93        3035.33       0.676717E-004  0.437635E+007   6.68203        3.74669      -0.104381E+008
  2688.94       0.250000        3237.44        3030.90       0.692452E-004  0.440137E+007   6.65477        3.73305      -0.104072E+008
  2710.25       0.250000        3248.95        3026.36       0.710679E-004  0.443076E+007   6.62541        3.71908      -0.103762E+008
  2731.56       0.250000        3260.47        3021.71       0.732507E-004  0.446651E+007   6.59315        3.70470      -0.103448E+008
  2752.86       0.250000        3272.02        3016.90       0.759981E-004  0.451224E+007   6.55658        3.68981      -0.103132E+008
  2774.17       0.250000        3283.64        3011.89       0.797334E-004  0.457558E+007   6.51301        3.67423      -0.102810E+008
  2795.48       0.250000        3295.39        3006.58       0.855865E-004  0.467697E+007   6.45600        3.65759      -0.102483E+008
  2816.78       0.250000        3307.45        3000.74       0.981969E-004  0.490178E+007   6.36443        3.63893      -0.102145E+008
  2838.09       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  2859.40       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  2880.70       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  2902.01       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  2923.32       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  2944.62       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  2965.93       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  2987.24       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3008.54       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3029.85       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3051.16       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3072.46       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3093.77       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3115.08       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3136.38       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3157.69       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3178.99       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3200.30       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3221.61       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3242.91       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3264.22       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3285.53       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3306.83       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3328.14       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3349.45       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3370.75       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3392.06       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3413.37       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3434.67       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3455.98       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3477.29       0.250000        3562.95        3074.40       0.997655E-004  0.556692E+007   6.71722        3.81508      -0.910798E+007
  3498.59       0.250000        3574.15        3067.74       0.104311E-003  0.568095E+007   6.68149        3.79671      -0.906890E+007
  3519.90       0.250000        3585.58        3060.81       0.109723E-003  0.581800E+007   6.64377        3.77769      -0.902881E+007
  3541.21       0.250000        3597.24        3053.48       0.116347E-003  0.598706E+007   6.60322        3.75780      -0.898762E+007
  3562.51       0.250000        3609.26        3045.72       0.124738E-003  0.620317E+007   6.55952        3.73694      -0.894493E+007
  3583.82       0.250000        3621.73        3037.39       0.135933E-003  0.649389E+007   6.51131        3.71486      -0.890039E+007
  3605.13       0.250000        3634.83        3028.13       0.152037E-003  0.691527E+007   6.45658        3.69086      -0.885330E+007
  3626.43       0.250000        3648.96        3017.62       0.178521E-003  0.761413E+007   6.39195        3.66438      -0.880222E+007
  3647.74       0.250000        3665.04        3004.61       0.236900E-003  0.916818E+007   6.30738        3.63312      -0.874371E+007
  3669.05       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3690.35       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3711.66       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3732.96       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3754.27       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3775.58       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3796.88       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3818.19       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3839.50       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3860.80       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3882.11       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3903.42       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3924.72       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3946.03       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3967.34       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  3988.64       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4009.95       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4031.26       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4052.56       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4073.87       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4095.18       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4116.48       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4137.79       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4159.10       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4180.40       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4201.71       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4223.02       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4244.32       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4265.63       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4286.93       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4308.24       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4329.55       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4350.85       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4372.16       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4393.47       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4414.77       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4436.08       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4457.39       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4478.69       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  4500.00       0.250000                 10000.0            10000.0            10000.0            10000.0            10000.0            10000.0            10000.0
  260.000        7537.94        534.894        3389.84       0.190508E-004  0.260857E+007   8.32761        4.82258      -0.132155E+008
  281.307        7537.94        598.097        3387.18       0.202623E-004  0.276499E+007   8.31541        4.81412      -0.131984E+008
  302.613        7537.94        658.868        3385.47       0.213065E-004  0.290067E+007   8.30539        4.80824      -0.131806E+008
  323.920        7537.94        719.020        3384.10       0.222450E-004  0.301820E+007   8.29907        4.80321      -0.131618E+008
  345.226        7537.94        777.361        3382.48       0.230661E-004  0.311981E+007   8.29075        4.79752      -0.131423E+008
  366.533        7537.94        833.403        3380.81       0.237972E-004  0.320810E+007   8.28201        4.79162      -0.131224E+008
  387.839        7537.94        887.873        3379.06       0.244502E-004  0.328511E+007   8.27265        4.78545      -0.131018E+008
  409.146        7537.94        940.674        3377.34       0.250436E-004  0.335266E+007   8.26366        4.77930      -0.130808E+008
  430.452        7537.94        992.001        3375.48       0.255750E-004  0.341202E+007   8.25404        4.77288      -0.130592E+008
  451.759        7537.94        1041.45        3373.64       0.260654E-004  0.346449E+007   8.24417        4.76634      -0.130374E+008
  473.065        7537.94        1089.55        3371.75       0.265153E-004  0.351103E+007   8.23419        4.75970      -0.130152E+008
  494.372        7537.94        1135.84        3369.83       0.269315E-004  0.355248E+007   8.22406        4.75298      -0.129928E+008
  515.678        7537.94        1180.60        3367.89       0.273190E-004  0.358952E+007   8.21381        4.74617      -0.129702E+008
  536.985        7537.94        1224.01        3365.91       0.276819E-004  0.362277E+007   8.20347        4.73930      -0.129474E+008
  558.291        7537.94        1266.14        3363.91       0.280237E-004  0.365270E+007   8.19299        4.73234      -0.129243E+008
  579.598        7537.94        1307.04        3361.89       0.283473E-004  0.367974E+007   8.18235        4.72529      -0.129010E+008
  600.905        7537.94        1346.73        3359.84       0.286551E-004  0.370424E+007   8.17157        4.71818      -0.128776E+008
  622.211        7537.94        1385.36        3357.77       0.289495E-004  0.372652E+007   8.16065        4.71098      -0.128540E+008
  643.518        7537.94        1422.89        3355.68       0.292322E-004  0.374684E+007   8.14962        4.70374      -0.128302E+008
  664.824        7537.94        1459.48        3353.55       0.295049E-004  0.376542E+007   8.13842        4.69640      -0.128063E+008
  686.131        7537.94        1495.06        3351.42       0.297688E-004  0.378246E+007   8.12714        4.68902      -0.127823E+008
  707.437        7537.94        1529.81        3349.25       0.300256E-004  0.379812E+007   8.11562        4.68154      -0.127580E+008
  728.744        7537.94        1563.63        3347.07       0.302757E-004  0.381257E+007   8.10408        4.67403      -0.127338E+008
  750.050        7537.94        1596.74        3344.84       0.305212E-004  0.382590E+007   8.09218        4.66639      -0.127093E+008
  771.357        7537.94        1638.61        3332.90       0.305404E-004  0.382756E+007   8.02577        4.63325      -0.126777E+008
  792.663        7537.94        1670.15        3330.70       0.307908E-004  0.383885E+007   8.01301        4.62570      -0.126530E+008
  813.970        7537.94        1701.17        3328.46       0.310398E-004  0.384936E+007   7.99984        4.61802      -0.126281E+008
  835.276        7537.94        1731.30        3326.22       0.312860E-004  0.385919E+007   7.98687        4.61039      -0.126033E+008
  856.583        7537.94        1760.97        3323.94       0.315325E-004  0.386837E+007   7.97347        4.60262      -0.125781E+008
  877.889        7537.94        1789.81        3321.66       0.317764E-004  0.387699E+007   7.96028        4.59490      -0.125531E+008
  899.196        7537.94        1818.27        3319.34       0.320221E-004  0.388509E+007   7.94662        4.58703      -0.125279E+008
  920.503        7537.94        1846.15        3317.00       0.322684E-004  0.389272E+007   7.93281        4.57910      -0.125025E+008
  941.809        7537.94        1873.27        3314.67       0.325121E-004  0.389994E+007   7.91929        4.57125      -0.124772E+008
  963.116        7537.94        1900.09        3312.29       0.327598E-004  0.390676E+007   7.90521        4.56321      -0.124517E+008
  984.422        7537.94        1926.17        3309.93       0.330051E-004  0.391325E+007   7.89146        4.55526      -0.124263E+008
  1005.73        7537.94        1952.01        3307.50       0.332556E-004  0.391939E+007   7.87710        4.54710      -0.124006E+008
  1027.04        7537.94        1977.13        3305.10       0.335036E-004  0.392528E+007   7.86313        4.53906      -0.123751E+008
  1048.34        7537.94        2002.07        3302.62       0.337578E-004  0.393087E+007   7.84848        4.53077      -0.123492E+008
  1069.65        7537.94        2026.59        3300.12       0.340145E-004  0.393621E+007   7.83366        4.52239      -0.123232E+008
  1090.95        7537.94        2050.43        3297.66       0.342687E-004  0.394138E+007   7.81933        4.51420      -0.122975E+008
  1112.26        7537.94        2074.16        3295.11       0.345304E-004  0.394629E+007   7.80420        4.50568      -0.122713E+008
  1133.57        7537.94        2097.21        3292.61       0.347895E-004  0.395108E+007   7.78961        4.49736      -0.122455E+008
  1154.87        7537.94        2120.20        3290.01       0.350573E-004  0.395565E+007   7.77417        4.48869      -0.122191E+008
  1176.18        7537.94        2142.53        3287.47       0.353224E-004  0.396012E+007   7.75933        4.48026      -0.121931E+008
  1197.49        7537.94        2164.85        3284.81       0.355969E-004  0.396440E+007   7.74355        4.47141      -0.121666E+008
  1218.79        7537.94        2186.85        3282.13       0.358750E-004  0.396855E+007   7.72759        4.46246      -0.121401E+008
  1240.10        7537.94        2208.19        3279.51       0.361505E-004  0.397266E+007   7.71235        4.45383      -0.121138E+008
  1261.41        7537.94        2229.58        3276.77       0.364362E-004  0.397659E+007   7.69607        4.44470      -0.120871E+008
  1282.71        7537.94        2249.93        3274.22       0.367131E-004  0.398061E+007   7.68154        4.43642      -0.120612E+008
  1304.02        7537.94        2271.11        3271.31       0.370132E-004  0.398428E+007   7.66401        4.42663      -0.120338E+008
  1325.33        7537.94        2291.26        3268.61       0.373050E-004  0.398807E+007   7.64830        4.41776      -0.120073E+008
  1346.63        7537.94        2311.51        3265.76       0.376074E-004  0.399170E+007   7.63150        4.40830      -0.119803E+008
  1367.94        7537.94        2331.49        3262.89       0.379143E-004  0.399529E+007   7.61462        4.39877      -0.119532E+008
  1389.25        7537.94        2350.43        3260.24       0.382140E-004  0.399906E+007   7.59960        4.39031      -0.119270E+008
  1410.55        7537.94        2370.27        3257.20       0.385360E-004  0.400248E+007   7.58166        4.38012      -0.118993E+008
  1431.86        7537.94        2389.08        3254.39       0.388517E-004  0.400610E+007   7.56553        4.37102      -0.118726E+008
  1453.17        7537.94        2408.01        3251.43       0.391777E-004  0.400960E+007   7.54853        4.36135      -0.118453E+008
  1474.47        7537.94        2426.34        3248.58       0.395042E-004  0.401321E+007   7.53226        4.35218      -0.118184E+008
  1495.78        7537.94        2444.44        3245.71       0.398368E-004  0.401683E+007   7.51594        4.34297      -0.117916E+008
  1517.09        7537.94        2463.00        3242.57       0.401823E-004  0.402026E+007   7.49821        4.33270      -0.117636E+008
